Eads,Bader-charge,Ave-O2p-up,Ave-O2p-down,Ave-diff-EN,Ave-diff-IE,BLVE Neighbor 1,BLVE Neighbor 2,BLVE Neighbor 3,BLVE Neighbor 4,BLVE Neighbor 5,Freq Ni,Freq Mg,Freq Cu,Freq Zn
-0.371819665,-1.236211,-2.235215805505933,-1.9502799722654922,1.702000,5.626000,0.2094,1.055,0.2134,0.176333333333333,0.2079,3,1,0,1
-0.627640645,-1.142547,-1.8769609045972708,-1.6234956279828217,1.586000,5.592800,0.174916666666667,0.2093,0.17675,0.2064,0.208909090909091,2,0,1,2
-0.634158765,-1.251805,-1.8615194284036358,-1.8312899571654795,1.656000,5.925200,0.2091,0.175916666666667,0.193363636363636,1.0485,0.177583333333333,1,1,1,2
-0.308205785,-1.226573,-2.130985288050402,-1.9876809142840408,1.704000,5.608800,0.192363636363636,0.175,0.2094,1.048,0.2105,2,1,1,1
-0.422095005,-1.331645,-1.7716122172258222,-1.6531240901420314,1.822000,5.624800,1.0485,0.213,1.0475,0.2165,0.17975,2,2,0,1
-0.206894215,-1.32586,-2.010038006994939,-1.8698130017025387,1.772000,5.958400,0.2115,1.052,0.208,0.175833333333333,1.0585,2,2,0,1
-0.844971975,-1.162326,-1.9665366683669012,-1.833935723882292,1.588000,5.575600,0.176583333333333,0.2116,0.174666666666667,0.190545454545454,0.195,1,0,2,2
-0.622050865,-1.142547,-1.8799126165601254,-1.6193079201250904,1.586000,5.592800,0.174916666666667,0.2093,0.17675,0.2064,0.208909090909091,2,0,1,2
-0.368284255,-1.251805,-1.8617904773730813,-1.8309142709079893,1.656000,5.925200,0.2091,0.175916666666667,0.193363636363636,1.0485,0.177583333333333,1,1,1,2
-0.332149515,-1.302263,-1.8205087495681977,-1.7817904857830016,1.774000,5.941200,1.0575,0.190727272727273,1.06,0.2115,0.179833333333333,1,2,1,1
-0.372023195,-1.236211,-2.2443156504988946,-1.9517530474145162,1.702000,5.626000,0.2094,1.055,0.2134,0.176333333333333,0.2079,3,1,0,1
-0.204212095,-1.32586,-2.0095040044287993,-1.8728272246379252,1.772000,5.958400,0.2115,1.052,0.208,0.175833333333333,1.0585,2,2,0,1
-0.536077025,-1.162326,-1.9706791217499526,-1.83217354557899,1.588000,5.575600,0.176583333333333,0.2116,0.174666666666667,0.190545454545454,0.195,1,0,2,2
-0.322585815,-1.226573,-2.1299247177107627,-1.9899919337475853,1.824000,5.607600,0.192363636363636,0.175,0.2094,1.048,0.2105,2,1,1,1
-0.419518775,-1.331645,-1.7749661875114802,-1.6487955946691821,1.822000,5.624800,1.0485,0.213,1.0475,0.2165,0.17975,2,2,0,1
-0.400235215,-1.280245,-2.005425194631116,-1.8249254571450149,1.772000,5.958400,0.185181818181818,1.0535,1.071,0.2118,0.2138,2,2,1,0
-0.411997095,-1.466868,-1.7142883563071254,-1.5900764507669325,1.942000,5.623600,0.2146,1.04,1.063,1.0535,0.1805,1,3,0,1
-0.721681955,-1.35528,-1.6066885082603204,-1.4654277478329412,1.824000,5.607600,1.0735,1.039,0.2066,0.17525,0.210363636363636,1,2,1,1
-0.470512845,-1.228709,-1.7853561642850024,-1.7604130155791515,1.756000,5.258000,0.175416666666667,0.2086,1.0315,0.195909090909091,0.179833333333333,1,1,1,2
-0.407230945,-1.546089,-1.8078913528986393,-1.7471693159644401,2.062000,5.622400,1.0565,1.068,0.178666666666667,1.052,1.089,0,4,0,1
-0.527222655,-1.329995,-1.6959289304050025,-1.6722934690489601,1.944000,5.606400,1.0975,0.17975,0.186727272727273,1.052,0.179916666666667,0,2,1,2
-0.378805095,-1.266829,-2.0574658371761454,-1.9536120715995389,1.772000,5.958400,1.0375,0.193545454545454,0.2079,0.2062,1.0565,2,2,1,0
-0.384336505,-1.389887,-2.0313195804801176,-1.8297599486527134,1.890000,5.974400,0.2082,0.2091,1.0735,1.054,1.055,2,3,0,0
-0.727592755,-1.355278,-1.6010891442602209,-1.4671525190044172,1.824000,5.607600,1.0735,1.039,0.2066,0.17525,0.210363636363636,1,2,1,1
-0.536065365,-1.228709,-1.782951387425519,-1.7643502264734976,1.756000,5.258000,0.175416666666667,0.2086,1.0315,0.195909090909091,0.179833333333333,1,1,1,2
-0.400955815,-1.280243,-2.005369868422328,-1.8267111170502166,1.772000,5.958400,0.185181818181818,1.0535,1.071,0.2118,0.2138,2,2,1,0
-0.393097425,-1.466868,-1.7220303068815017,-1.5860673347557905,1.942000,5.623600,0.2146,1.04,1.063,1.0535,0.1805,1,3,0,1
-0.216097085,-1.26683,-2.056467525391721,-1.952995555160794,1.772000,5.958400,1.0375,0.193545454545454,0.2079,0.2062,1.0565,2,2,1,0
-0.386587875,-1.389889,-2.028395900575838,-1.825595119106402,1.890000,5.974400,0.2082,0.2091,1.0735,1.054,1.055,2,3,0,0
-0.385918175,-1.546088,-1.8098134416279064,-1.7433219292977793,2.062000,5.622400,1.0565,1.068,0.178666666666667,1.052,1.089,0,4,0,1
-0.525804025,-1.329994,-1.693624998919524,-1.6787929201572975,1.876000,5.256800,1.0975,0.17975,0.186727272727273,1.052,0.179916666666667,0,2,1,2
-1.361201585,-1.206257,-1.911290455091294,-1.957356640972292,1.756000,5.258000,0.182416666666667,0.177166666666667,0.1998,0.193727272727273,1.0625,1,1,1,2
-0.836360695,-1.123793,-2.3361485231908854,-2.201881580112165,1.656000,5.925200,0.191909090909091,0.192,1.047,0.208636363636364,0.188636363636364,1,1,3,0
-0.958190815,-1.162373,-2.2316793283927976,-1.976828377951337,1.656000,5.925200,0.185727272727273,1.0545,0.199090909090909,0.2067,0.190090909090909,1,1,3,0
-0.489219945,-1.163843,-2.041856502276,-1.8578930691945692,1.636000,5.259200,0.2114,0.194090909090909,0.178833333333333,0.172083333333333,0.2135,2,0,1,2
-0.394900165,-1.15929,-2.1828444550209074,-2.10033386750667,1.704000,5.608800,0.177083333333333,0.207272727272727,0.2055,0.1933,1.06,2,1,1,1
-0.671399245,-1.130023,-2.3980749314426677,-2.4271233947719186,1.702000,5.626000,0.1957,0.212,0.19,1.066,0.2054,3,1,0,1
